YEAR ,performer_group:,Appearances:
1996,Jay-Z,14
1996,Jay-Z and Friends,20
1997,Destiny's Child,5
1997,Jay-Z,13
1997,Jay-Z and Friends,30
1998,Destiny's Child,30
1998,Destiny's Child and Friends,16
1998,Jay-Z,8
1998,Jay-Z and Friends,72
1999,Bey & Jay,3
1999,Destiny's Child,35
1999,Jay-Z,47
1999,Jay-Z and Friends,41
2000,Destiny's Child,84
2000,Jay-Z,18
2000,Jay-Z and Friends,50
2001,Destiny's Child,66
2001,Jay-Z,43
2001,Jay-Z and Friends,53
2002,Bey & Jay,10
2002,Destiny's Child,6
2002,Jay-Z,14
2002,Jay-Z and Friends,16
2003,Bey & Jay,40
2003,Beyonce,7
2003,Beyonce and Friends,20
2003,Jay-Z,26
2003,Jay-Z and Friends,37
2004,Beyonce,54
2004,Beyonce and Friends,9
2004,Destiny's Child,14
2004,Destiny's Child and Friends,5
2004,Jay-Z,49
2004,Jay-Z and Friends,15
2005,Beyonce,5
2005,Beyonce and Friends,7
2005,Destiny's Child,52
2005,Destiny's Child and Friends,16
2005,Jay-Z and Friends,15
2006,Bey & Jay,24
2006,Beyonce,22
2006,Beyonce and Friends,21
2006,Jay-Z,12
2006,Jay-Z and Friends,2
2007,Bey & Jay,11
2007,Beyonce,52
2007,Beyonce and Friends,42
2007,Jay-Z,16
2007,Jay-Z and Friends,39
2008,Beyonce,19
2008,Beyonce and Friends,15
2008,Jay-Z and Friends,34
2009,Beyonce,118
2009,Beyonce and Friends,6
2009,Jay-Z,7
2009,Jay-Z and Friends,47
2010,Beyonce,8
2010,Beyonce and Friends,32
2010,Jay-Z and Friends,78
2011,Beyonce,49
2011,Beyonce and Friends,11
2011,Jay-Z and Friends,53
2012,Beyonce,36
2012,Beyonce and Friends,7
2012,Jay-Z and Friends,81
2013,Bey & Jay,1
2013,Beyonce,1
2013,Jay-Z,22
2013,Jay-Z and Friends,76
2014,Bey & Jay,35
2014,Beyonce,34
2014,Beyonce and Friends,14
2014,Jay-Z and Friends,7
2015,Beyonce,17
2015,Beyonce and Friends,29
2016,Beyonce,51
2016,Beyonce and Friends,8
2016,Jay-Z and Friends,37
2017,Bey & Jay,15
2017,Beyonce and Friends,27
2017,Jay-Z,8
2017,Jay-Z and Friends,3
2018,Beyonce and Friends,6
2018,Jay-Z and Friends,12