Title,Release Date,US Sales
Reasonable Doubt,6/25/96,"1,514,000"
"In My Lifetime, Vol. 1",11/4/97,"1,412,000"
Vol. 2... Hard Knock Life,9/29/98,"5,400,000"
Vol. 3... Life and Times of S. Carter,12/28/99,"3,093,000"
The Dynasty: Roc La Familia,10/31/00,"2,521,000"
The Blueprint,9/11/01,"2,711,000"
The Blueprint 2: The Gift & The Curse,11/12/02,"2,117,000"
The Black Album,11/14/03,"3,516,000"
Kingdom Come,11/21/06,"1,510,000"
American Gangster,11/6/07,"1,131,000"
The Blueprint 3,9/8/09,"1,933,000"
Magna Carta... Holy Grail,7/9/13,"1,130,000"
4:44,6/30/17,"399,000"